theta_arcsec,intensity,enclosed_fraction
3.8200000000000003,9.496523261070553E-06,0.9942279000853752
3.825,9.44976326006162E-06,0.9942410064088858
3.83,9.403299652665502E-06,0.9942540995532559
3.835,9.357130156652024E-06,0.9942671080092815
3.84,9.31125251053143E-06,0.9942801010136579
3.845,9.26566447334369E-06,0.9942930225469698
3.85,9.22036382442649E-06,0.9943059165862368
3.855,9.175348363231807E-06,0.994318751803565
3.86,9.130615909094295E-06,0.994331548039155
3.865,9.08616430103345E-06,0.9943442975428872
3.87,9.041991397552941E-06,0.9943569971229278
3.875,8.998095076419528E-06,0.9943696615111431
3.88,8.954473234491674E-06,0.9943822655706002
3.8850000000000002,8.91112378749802E-06,0.9943948454371025
3.89,8.868044669860549E-06,0.9944073550979231
3.895,8.825233834481367E-06,0.9944198510322743
3.9,8.782689252577278E-06,0.9944322674035279
3.9050000000000002,8.740408913476196E-06,0.994444674347169
3.91,8.698390824425327E-06,0.9944570041690985
3.915,8.656633010424316E-06,0.9944693194262042
3.92,8.615133514028636E-06,0.994481567059542
3.9250000000000003,8.573890395186876E-06,0.9944937917054927
3.93,8.532901731041997E-06,0.994505957723158
3.935,8.49216561576629E-06,0.9945180926646852
3.94,8.451107414445552E-06,0.9945301772258535
3.9450000000000003,8.410869331338856E-06,0.9945422230270583
3.95,8.370878176671638E-06,0.9945542262889775
3.955,8.330566277417796E-06,0.9945661839693888
3.96,8.29106208431263E-06,0.9945781068966433
3.9650000000000003,8.251799346407355E-06,0.9945899776956358
3.97,8.212217240008397E-06,0.9946018208441444
3.975,8.173430682538379E-06,0.9946136057759766
3.98,8.134880249780776E-06,0.9946253696955863
3.985,8.096011857094821E-06,0.9946370697635933
3.99,8.05792710442754E-06,0.9946487550022604
3.995,8.020073284461464E-06,0.9946603708475376
4,7.981902943542681E-06,0.9946719775516512
4.005,7.944504575692196E-06,0.9946835104582908
4.01,7.907332082868324E-06,0.9946950385045517
4.015,7.869844536517603E-06,0.9947064905471964
4.0200000000000005,7.833117532077504E-06,0.9947179370683742
4.025,7.79661147533045E-06,0.9947293121898925
4.03,7.759791859042743E-06,0.9947406778020459
4.035,7.723721583352808E-06,0.9947519769199122
4.04,7.68786745449634E-06,0.9947632629240868
4.045,7.651701284851797E-06,0.994774486563037
4.05,7.616273478538032E-06,0.9947856938879454
4.055,7.581057140939243E-06,0.9947968425671077
4.0600000000000005,7.545530304357264E-06,0.9948079721295661
4.065,7.510731072260676E-06,0.9948190463661871
4.07,7.476138749914892E-06,0.9948300989624879
4.075,7.441237491794454E-06,0.994841098887609
4.08,7.407053292300578E-06,0.9948520752545815
4.085,7.373071559221004E-06,0.9948630017587659
4.09,7.339290837514081E-06,0.9948739030529457
